"value","fixed"
"Europe:Hungary:Central Hungary:Budapest","Europe:Hungary:Central Hungary:Budapest"
"Europe:Hungary:Balatonfured:","Europe:Hungary:Balatonfured:-"
"Europe:Hungary:Balassagyarmat:","Europe:Hungary:Balassagyarmat:-"
"Europe:Hungary:Baranya:","Europe:Hungary:Baranya:-"
"Europe:Hungary:Kecskemet:","Europe:Hungary:Kecskemet:-"
"Europe:Hungary:Oroshaza:","Europe:Hungary:Oroshaza:-"
"Europe:Hungary:Bekesszentandras:","Europe:Hungary:Bekesszentandras:-"
"Europe:Hungary:Szeged:","Europe:Hungary:Szeged:-"
"Europe:Iceland:Reykjavik:","Europe:Iceland:Reykjavik:-"
"Oceania:Australia:Australia:","Oceania:Australia:-:-"
"Oceania:Australia:Western Australia:Perth","Oceania:Australia:Western Australia:Perth"
"Europe:Austria:Austria:","Europe:Austria:Austria:-"
"Europe:Austria:Vienna:","Europe:Austria:Vienna:-"
"Europe:Austria:Tyrol:Ischgl","Europe:Austria:Tyrol:Ischgl"
"Asia:India:Kerala:","Asia:India:Kerala:-"
"Asia:India:India:","Asia:India:-:-"
"Asia:India:Tamil Nadu:","Asia:India:Tamil Nadu:-"
"Asia:India:Telangana:","Asia:India:Telangana:-"
"Asia:India:Maharashtra:","Asia:India:Maharashtra:-"
"Asia:India:Gujarat:Kodinar","Asia:India:Gujarat:Kodinar"
"Asia:India:Gujarat:Rajkot","Asia:India:Gujarat:Rajkot"
"Asia:India:Gujarat:Jamnagar","Asia:India:Gujarat:Jamnagar"
"Europe:Austria:Tyrol:Innsbruck","Europe:Austria:Tyrol:Innsbruck"
"Asia:India:Gujarat:Dahod","Asia:India:Gujarat:Dahod"
"Asia:India:Gujarat:Surat","Asia:India:Gujarat:Surat"
"Asia:India:Gujarat:Vadodara","Asia:India:Gujarat:Vadodara"
"Asia:India:Gujarat:Ahmedabad","Asia:India:Gujarat:Ahmedabad"
"Asia:India:Gujarat:","Asia:India:Gujarat:-"
"Europe:Austria:Tyrol:Matrei am Brenner","Europe:Austria:Tyrol:Matrei am Brenner"
"Asia:India:Gujarat:Prantij","Asia:India:Gujarat:Prantij"
"Europe:Austria:Tyrol:Strass im Zillertal","Europe:Austria:Tyrol:Strass im Zillertal"
"Asia:India:Gujarat:Modasa","Asia:India:Gujarat:Modasa"
"Asia:India:Gujarat:Dhansura","Asia:India:Gujarat:Dhansura"
"Asia:India:Gujarat:Gandhinagar","Asia:India:Gujarat:Gandhinagar"
"Europe:Austria:Tyrol:Elbigenalp","Europe:Austria:Tyrol:Elbigenalp"
"Asia:India:Gujarat:Himatnagar","Asia:India:Gujarat:Himatnagar"
"Asia:India:Gujarat:Dahegam","Asia:India:Gujarat:Dahegam"
"Europe:Austria:Tyrol:Aldrans","Europe:Austria:Tyrol:Aldrans"
"Asia:India:Gujarat:Mansa","Asia:India:Gujarat:Mansa"
